id,timestamp,risk_type,entity_id,risk_score,risk_label
1,2025-12-03 07:49:53.82101+00,production,M3,0.000130985208670609,0
2,2025-12-03 09:05:00.616712+00,production,M3,0.999707758426666,1
3,2025-12-03 09:05:33.731605+00,supplier,S2,1,1
4,2025-12-03 10:48:34.776477+00,production,M3,0,0
5,2025-12-03 10:48:29.36004+00,production,M2,0,0
6,2025-12-03 10:48:24.039961+00,production,M2,0,0
7,2025-12-03 10:48:18.719337+00,production,M3,0,0
8,2025-12-03 10:48:13.410703+00,production,M1,0,0
9,2025-12-03 10:48:08.10201+00,production,M1,0,0
10,2025-12-03 10:48:02.79072+00,production,M2,0,0
11,2025-12-03 10:47:57.466679+00,production,M1,0,0
12,2025-12-03 10:47:52.138517+00,production,M2,0,0
13,2025-12-03 10:47:46.795281+00,production,M3,0,0
14,2025-12-03 10:47:41.483152+00,production,M1,0,0
15,2025-12-03 10:47:36.158743+00,production,M2,0,0
16,2025-12-03 10:47:30.838973+00,production,M3,0,0
17,2025-12-03 10:47:25.532654+00,production,M2,0,0
18,2025-12-03 10:47:20.224263+00,production,M2,0,0
19,2025-12-03 10:47:14.897233+00,production,M1,0,0
20,2025-12-03 10:47:09.584689+00,production,M3,0,0
21,2025-12-03 10:47:04.275213+00,production,M2,0,0
22,2025-12-03 10:46:58.960657+00,production,M3,0,0
23,2025-12-03 10:46:53.618384+00,production,M3,0,0
24,2025-12-03 10:46:48.303323+00,production,M3,0,0
25,2025-12-03 10:46:42.820703+00,production,M1,0,0
26,2025-12-03 10:46:37.510144+00,production,M1,0,0
27,2025-12-03 10:46:31.693487+00,production,M2,0,0
28,2025-12-03 10:46:26.375984+00,production,M2,0,0
29,2025-12-03 10:46:21.053518+00,production,M1,0,0
30,2025-12-03 10:46:15.71813+00,production,M1,0,0
31,2025-12-03 10:46:10.396032+00,production,M3,0,0
32,2025-12-03 10:46:05.062675+00,production,M2,0,0
33,2025-12-03 10:45:59.754647+00,production,M3,0,0
34,2025-12-03 10:45:54.436065+00,production,M3,0,0
35,2025-12-03 10:45:49.115605+00,production,M3,0,0
36,2025-12-03 10:45:43.79789+00,production,M3,0,0
